T2M,RH2M,PS,datetime,hour,month,T2M_diff,RH2M_diff,PS_diff,T2M_roll_mean,RH2M_roll_mean,PS_roll_mean,T2M_roll_std,RH2M_roll_std,PS_roll_std,T2M_roll_dev,RH2M_roll_dev,PS_roll_dev
24.06,95.48,981.2,2025-09-29 03:00:00,3,9,-0.22000000000000242,0.6400000000000006,0.0,28.02208333333333,82.31125,982.8333333333334,3.323939489805255,13.26377161670142,1.516192791092795,-3.9620833333333323,13.168750000000003,-1.6333333333333258
23.86,96.55,981.4,2025-09-29 04:00:00,4,9,-0.1999999999999993,1.0699999999999932,0.1999999999999318,27.97458333333333,82.31750000000001,982.7333333333335,3.3767298036220574,13.270732508206246,1.5287581395785206,-4.114583333333332,14.232499999999987,-1.333333333333485
23.68,97.87,982.0,2025-09-29 05:00:00,5,9,-0.17999999999999972,1.3200000000000074,0.6000000000000227,27.932083333333335,82.37083333333332,982.6416666666668,3.4257985158233275,13.333011635612438,1.5027269897921771,-4.252083333333335,15.499166666666682,-0.6416666666667652
24.61,94.59,982.9,2025-09-29 06:00:00,6,9,0.9299999999999997,-3.280000000000001,0.8999999999999773,27.905,82.39791666666666,982.5708333333332,3.4503232362759073,13.35817026625777,1.4453761859439043,-3.2950000000000017,12.192083333333343,0.3291666666667652
26.27,89.72,983.8,2025-09-29 07:00:00,7,9,1.6600000000000001,-4.8700000000000045,0.8999999999999773,27.881249999999998,82.44708333333334,982.5125000000002,3.459921226170793,13.383906779726923,1.360406748657411,-1.6112499999999983,7.27291666666666,1.2874999999997954
28.83,78.65,984.3,2025-09-29 08:00:00,8,9,2.5599999999999987,-11.069999999999993,0.5,27.870416666666667,82.52083333333333,982.4625000000001,3.456377192539077,13.356745541084848,1.2645028237841645,0.959583333333331,-3.870833333333323,1.8374999999998636
30.37,71.65,984.1,2025-09-29 09:00:00,9,9,1.5400000000000027,-7.0,-0.1999999999999318,27.860833333333332,82.56958333333334,982.4083333333333,3.448790483213545,13.312951026584848,1.1564250259458304,2.509166666666669,-10.919583333333335,1.6916666666667197
31.31,68.41,983.6,2025-09-29 10:00:00,10,9,0.9399999999999977,-3.240000000000009,-0.5,27.84125,82.65625000000001,982.3541666666666,3.426833133680401,13.20900016375584,1.061163908467556,3.46875,-14.246250000000018,1.245833333333394
31.95,66.28,982.8,2025-09-29 11:00:00,11,9,0.6400000000000006,-2.1299999999999955,-0.8000000000000682,27.81625,82.76083333333334,982.3000000000001,3.3930091973123764,13.062084831486228,0.9995651228596115,4.133749999999999,-16.480833333333337,0.4999999999998863
32.24,65.1,981.9,2025-09-29 12:00:00,12,9,0.2900000000000027,-1.1800000000000068,-0.8999999999999773,27.785833333333333,82.86916666666666,982.25,3.347770077642212,12.896473032061207,0.9877510688265927,4.454166666666669,-17.769166666666663,-0.35000000000002274
