T2M,RH2M,PS,datetime,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
11.78,48.78,996.7,2023-01-01 23:00:00,23,1,-0.7800000000000011,12.904166666666667,5.030626995814189,-1.1241666666666674,2.770000000000003,49.895833333333336,14.846591445050002,-1.1158333333333346,0.0,995.8625000000001,0.9202138220331746,0.8374999999999773
10.41,54.3,996.5,2023-01-02 00:00:00,0,1,-1.3699999999999992,13.02125,4.933573810482444,-2.61125,5.519999999999996,49.38208333333333,14.450393699816978,4.91791666666667,-0.20000000000004547,995.9208333333335,0.9141302193730664,0.5791666666665378
9.59,58.03,996.3,2023-01-02 01:00:00,1,1,-0.8200000000000003,13.128749999999998,4.823783750741014,-3.5387499999999985,3.730000000000004,48.94958333333333,14.004587285465858,9.080416666666672,-0.20000000000004547,995.9791666666666,0.8905197147277948,0.32083333333332575
9.07,60.9,995.9,2023-01-02 02:00:00,2,1,-0.5199999999999996,13.217083333333333,4.724099618990366,-4.147083333333333,2.8699999999999974,48.625,13.61194264639312,12.274999999999999,-0.39999999999997726,996.0208333333334,0.8607272792675951,-0.12083333333339397
8.54,63.8,995.4,2023-01-02 03:00:00,3,1,-0.5300000000000011,13.31,4.6027109214121795,-4.770000000000001,2.8999999999999986,48.334583333333335,13.18663683898167,15.465416666666663,-0.5,996.0541666666667,0.8177270548489436,-0.654166666666697
7.81,67.78,995.1,2023-01-02 04:00:00,4,1,-0.7299999999999995,13.380416666666667,4.499703834859499,-5.5704166666666675,3.980000000000004,48.19958333333333,12.958912823148827,19.58041666666667,-0.2999999999999545,996.0791666666668,0.7762670801407148,-0.9791666666667425
7.03,72.03,995.8,2023-01-02 05:00:00,5,1,-0.7799999999999994,13.397916666666665,4.472965147432397,-6.367916666666665,4.25,48.318749999999994,13.171540899754788,23.711250000000007,0.6999999999999318,996.1208333333334,0.7300858595527606,-0.32083333333343944
5.85,78.03,996.8,2023-01-02 06:00:00,6,1,-1.1800000000000006,13.362083333333333,4.531928257583527,-7.512083333333333,6.0,48.74000000000001,13.963537610816815,29.289999999999992,1.0,996.1791666666667,0.7259052319670664,0.6208333333332803
6.73,75.43,997.5,2023-01-02 07:00:00,7,1,0.8800000000000008,13.3025,4.611989337820927,-6.5725,-2.5999999999999943,49.08625,14.530632055584597,26.343750000000007,0.7000000000000455,996.2416666666667,0.7728640505158602,1.2583333333333258
9.78,62.01,998.2,2023-01-02 08:00:00,8,1,3.049999999999999,13.254583333333334,4.643576188546989,-3.474583333333335,-13.420000000000009,49.38791666666666,14.72758044981582,12.622083333333336,0.7000000000000455,996.3083333333334,0.8682399321099236,1.8916666666666515
12.36,53.93,998.6,2023-01-02 09:00:00,9,1,2.58,13.200833333333334,4.64626536952615,-0.8408333333333342,-8.079999999999998,49.58916666666667,14.7564473504227,4.340833333333329,0.39999999999997726,996.3583333333332,0.9631996798112635,2.241666666666788
16.58,40.45,998.5,2023-01-02 10:00:00,10,1,4.219999999999999,13.145833333333334,4.595758835639912,3.4341666666666644,-13.479999999999997,49.72541666666667,14.651612755617716,-9.275416666666665,-0.10000000000002274,996.3958333333334,1.0289205684755265,2.1041666666666288
18.41,35.87,997.9,2023-01-02 11:00:00,11,1,1.8300000000000018,13.104166666666666,4.540699923701351,5.305833333333334,-4.580000000000005,49.85541666666666,14.507579122401976,-13.985416666666666,-0.6000000000000227,996.4291666666667,1.0650491585579742,1.470833333333303
19.24,33.67,997.1,2023-01-02 12:00:00,12,1,0.8299999999999983,13.07125,4.490900280131697,6.168749999999999,-2.1999999999999957,49.96625,14.366824348053614,-16.29625,-0.7999999999999545,996.4541666666665,1.073790185426822,0.6458333333334849
19.49,32.57,996.5,2023-01-02 13:00:00,13,1,0.25,13.041249999999998,4.443291291373997,6.44875,-1.1000000000000014,50.06,14.239829627705767,-17.490000000000002,-0.6000000000000227,996.4791666666666,1.0672920494600868,0.02083333333337123
19.15,32.53,996.1,2023-01-02 14:00:00,14,1,-0.33999999999999986,13.013333333333334,4.400750594739657,6.136666666666665,-0.03999999999999915,50.14791666666667,14.119303769990765,-17.617916666666666,-0.39999999999997726,996.5125000000002,1.0410331406829134,-0.4125000000001364
18.19,35.6,995.8,2023-01-02 15:00:00,15,1,-0.9599999999999973,12.984583333333333,4.362848071741835,5.205416666666668,3.0700000000000003,50.169166666666676,14.096020380934123,-14.569166666666675,-0.3000000000000682,996.5416666666666,1.0090532224799849,-0.7416666666666742
15.49,46.7,996.0,2023-01-02 16:00:00,16,1,-2.700000000000001,12.91625,4.3075906838974385,2.5737500000000004,11.100000000000001,50.415,13.976459401125322,-3.7149999999999963,0.20000000000004547,996.5833333333334,0.9621835071593244,-0.5833333333333712
13.96,44.68,996.5,2023-01-02 17:00:00,17,1,-1.5299999999999994,12.840000000000002,4.270547261539613,1.1199999999999992,-2.020000000000003,50.627916666666664,13.842343348727411,-5.947916666666664,0.5,996.6291666666667,0.9289915835565942,-0.12916666666671972
13.04,46.0,997.4,2023-01-02 18:00:00,18,1,-0.9200000000000017,12.762083333333335,4.248138189808584,0.27791666666666437,1.3200000000000003,50.810833333333335,13.74667166568177,-4.810833333333335,0.8999999999999773,996.6916666666666,0.9282600210430362,0.7083333333333712
12.3,46.87,998.0,2023-01-02 19:00:00,19,1,-0.7399999999999984,12.678749999999999,4.2362578979874295,-0.37874999999999837,0.8699999999999974,50.98833333333334,13.663427753349984,-4.118333333333339,0.6000000000000227,996.7666666666665,0.9590151953580791,1.2333333333334622
11.56,47.94,998.4,2023-01-02 20:00:00,20,1,-0.7400000000000002,12.588333333333331,4.236002696007135,-1.0283333333333307,1.0700000000000003,51.17250000000001,13.587966623322338,-3.232500000000009,0.39999999999997726,996.85,1.011241165920543,1.5499999999999545
11.0,48.41,998.3,2023-01-02 21:00:00,21,1,-0.5600000000000005,12.496666666666664,4.245982926778293,-1.4966666666666644,0.46999999999999886,51.346666666666664,13.52173826832562,-2.9366666666666674,-0.10000000000002274,996.9166666666666,1.0528085282242052,1.3833333333333258
10.03,50.86,998.1,2023-01-02 22:00:00,22,1,-0.9700000000000006,12.39125,4.275645196672204,-2.36125,2.450000000000003,51.548750000000005,13.47467360659797,-0.688750000000006,-0.1999999999999318,996.975,1.0787472605638886,1.125
8.75,55.43,997.9,2023-01-02 23:00:00,23,1,-1.2799999999999994,12.265,4.338747565229235,-3.5150000000000006,4.57,51.82583333333333,13.483633530632828,3.6041666666666714,-0.20000000000004547,997.025,1.093160555453861,0.875
7.94,58.08,997.3,2023-01-03 00:00:00,0,1,-0.8099999999999996,12.162083333333333,4.413315798872738,-4.222083333333333,2.6499999999999986,51.98333333333334,13.535766362289682,6.096666666666657,-0.6000000000000227,997.0583333333333,1.088643618240805,0.24166666666667425
7.16,60.59,996.7,2023-01-03 01:00:00,1,1,-0.7800000000000002,12.060833333333333,4.501875857004951,-4.900833333333333,2.510000000000005,52.09,13.595443290340688,8.5,-0.599999999999909,997.0749999999999,1.0795530476122477,-0.3749999999998863
6.24,64.19,996.3,2023-01-03 02:00:00,2,1,-0.9199999999999999,11.942916666666667,4.61915527678108,-5.702916666666667,3.5999999999999943,52.22708333333333,13.704287960871694,11.962916666666665,-0.40000000000009095,997.0916666666666,1.0635938529618199,-0.7916666666666288
