T2M,RH2M,PS,datetime,is_anomaly,anomaly_type,hour,month,T2M_diff,T2M_roll_mean,T2M_roll_std,T2M_roll_dev,RH2M_diff,RH2M_roll_mean,RH2M_roll_std,RH2M_roll_dev,PS_diff,PS_roll_mean,PS_roll_std,PS_roll_dev
2.54,71.7,996.6,2023-01-04 03:00:00,0,normal,3,1,-0.31999999999999984,9.387916666666667,5.7467177620126675,-6.847916666666667,0.5400000000000063,55.87333333333333,14.682986210508094,15.826666666666675,-0.1999999999999318,997.5083333333333,1.0012673129011098,-0.908333333333303
2.27,71.54,996.6,2023-01-04 04:00:00,0,normal,4,1,-0.27,9.275833333333333,5.861912372823963,-7.005833333333333,-0.1599999999999966,56.00041666666667,14.80958634280267,15.539583333333333,0.0,997.5291666666666,0.975561896802503,-0.9291666666665606
2.04,70.74,997.2,2023-01-04 05:00:00,0,normal,5,1,-0.22999999999999998,9.170416666666666,5.971934708841571,-7.130416666666666,-0.8000000000000114,56.06166666666667,14.869770813901969,14.678333333333327,0.6000000000000227,997.5625,0.9485973627002453,-0.3624999999999545
1.83,70.03,997.9,2023-01-04 06:00:00,0,normal,6,1,-0.20999999999999996,9.075416666666667,6.073210582168406,-7.245416666666667,-0.7099999999999937,56.03666666666667,14.84469592485643,13.993333333333332,0.6999999999999318,997.5916666666667,0.947728023114864,0.3083333333332803
3.84,60.36,998.5,2023-01-04 07:00:00,0,normal,7,1,2.01,8.988333333333333,6.134943865422409,-5.148333333333333,-9.670000000000002,55.77875,14.7072290158985,4.581249999999997,0.6000000000000227,997.6125000000001,0.9624752961257069,0.8874999999999318
6.14,52.62,999.1,2023-01-04 08:00:00,0,normal,8,1,2.3,8.869583333333333,6.1624313942149325,-2.7295833333333333,-7.740000000000002,55.76666666666666,14.709807336741628,-3.146666666666661,0.6000000000000227,997.625,0.9803504253693357,1.4750000000000227
9.32,46.73,999.3,2023-01-04 09:00:00,0,normal,9,1,3.1800000000000006,8.765833333333333,6.131658344850193,0.5541666666666671,-5.890000000000001,55.76624999999999,14.710074280100926,-9.036249999999995,0.1999999999999318,997.6166666666667,0.9644402145992913,1.6833333333332803
13.7,38.31,998.8,2023-01-04 10:00:00,0,normal,10,1,4.379999999999999,8.652500000000002,6.007921763225905,5.047499999999998,-8.419999999999995,55.91125,14.510527007029722,-17.60125,-0.5,997.5958333333334,0.9313287219912747,1.2041666666665378
15.69,36.63,998.2,2023-01-04 11:00:00,0,normal,11,1,1.9900000000000002,8.552083333333334,5.861506690980211,7.137916666666666,-1.6799999999999997,56.072916666666664,14.260724257224089,-19.44291666666666,-0.599999999999909,997.5833333333334,0.9206173102240548,0.6166666666666742
16.9,35.87,997.5,2023-01-04 12:00:00,0,normal,12,1,1.209999999999999,8.47125,5.725255500279289,8.428749999999999,-0.7600000000000051,56.25083333333334,13.965710155410191,-20.380833333333342,-0.7000000000000455,997.5916666666666,0.9188445800672442,-0.0916666666665833
17.48,35.84,997.0,2023-01-04 13:00:00,0,normal,13,1,0.5800000000000018,8.405833333333334,5.606873046745291,9.074166666666667,-0.02999999999999403,56.45458333333334,13.61172447917975,-20.614583333333336,-0.5,997.6041666666666,0.9081654545036003,-0.6041666666666288
17.39,36.92,996.7,2023-01-04 14:00:00,0,normal,14,1,-0.08999999999999986,8.365,5.534249880438217,9.025,1.0799999999999983,56.657500000000006,13.263952538987823,-19.737500000000004,-0.2999999999999545,997.625,0.8798468246136386,-0.9249999999999545
16.55,40.71,996.6,2023-01-04 15:00:00,0,normal,15,1,-0.8399999999999999,8.345,5.502349695713008,8.205,3.789999999999999,56.80166666666668,13.061092126473637,-16.091666666666676,-0.10000000000002274,997.6458333333334,0.8474920374984479,-1.0458333333333485
13.15,56.48,996.7,2023-01-04 16:00:00,0,normal,16,1,-3.4000000000000004,8.3475,5.504612492778413,4.8025,15.769999999999996,56.91166666666666,13.046173074279587,-0.43166666666666487,0.10000000000002274,997.65,0.8423569417956862,-0.9499999999999318
10.9,57.34,996.9,2023-01-04 17:00:00,0,normal,17,1,-2.25,8.372916666666667,5.5153694181659825,2.5270833333333336,0.8600000000000065,56.84875,13.04005845295647,0.49125000000000085,0.1999999999999318,997.6416666666668,0.8489977040306744,-0.7416666666667879
9.87,60.27,997.2,2023-01-04 18:00:00,0,normal,18,1,-1.0300000000000011,8.4,5.5213026188296945,1.4699999999999989,2.9299999999999997,56.84916666666667,13.040172350376967,3.4208333333333343,0.3000000000000682,997.6208333333334,0.8536261103269788,-0.4208333333333485
